Colocação,Usuário,Pontuação,Rodadas jogadas
315,hermisef,2.5,9
316,froelichx,2.5,2
317,fataldelicacy,2.5,4
318,fabianobrasil,2.5,2
319,doguinho313,2.5,1
320,danielbarioni,2.5,1
321,wedonthavetime,2,2
322,vivasluis18,2,1
323,vinnpitt,2,3
324,valtterfilho87,2,1
325,trample,2,1
326,tbrgsh,2,1
327,srturtle,2,2
328,sorrentinoumberto,2,2
329,sophieeulalia22,2,1
330,ricardochess2020,2,1
331,rafaxbs,2,2
332,ptmanoelsousa,2,2
333,nahimtanquedeguerra,2,1
334,milton_pianist,2,1
335,marciochessodc,2,1
336,macanhanchess,2,1
337,leolimati,2,1
338,lborges26,2,1
339,ganderner1,2,1
340,gabrielgeazim,2,1
341,fem2011,2,1
342,eltonbarros,2,1
343,elsoncosta,2,1
344,egoncalves1313,2,1
345,edilsoncaetano2021,2,1
346,dudunegao1,2,3
347,dedfernandes,2,2
348,cxsiqueiracampos,2,1
349,charllosmaia,2,2
350,cesar_alberto_souza,2,1
351,capapreta999,2,2
352,cadlexadrezz,2,1
353,brenosouza,2,1
354,bades12,2,1
355,audirmaues,2,1
356,atrox333,2,1
357,arapongasxadrez,2,1
358,amado_batista,2,1
359,paulo101977,2,1
360,michaweidlich,2,1
361,brunosilverio97,2,2
362,tiagofs1,2,1
363,madrilenos,2,1
364,yendis1960,1.5,1
365,will_abreu,1.5,1
366,rodrigodejesussantos,1.5,1
367,justlizard,1.5,1
368,ilytthurr,1.5,2
369,avantvingans,1.5,1
370,xtovex,1,1
371,wevertonrs,1,1
372,wagner32,1,1
373,viniciusrech,1,2
374,viniciusleandro,1,1
375,vantharen,1,1
376,tiagosplynter,1,1
377,tiagochocolate,1,1
378,sousaslide,1,1
379,sionefrancisco,1,1
380,renatoitachess,1,1
381,potyguar,1,2
382,pluto_bah,1,1
383,pedrobolzan010,1,1
384,paulorov,1,1
385,osiasnovais,1,2
386,newton_junior,1,2
387,mestreorquiza,1,1
388,matheusteles15,1,1
389,matheuspalves,1,1
390,matheuslpds,1,1
391,marqueze01,1,1
392,marcelinoo0000,1,1
393,maia2029,1,1
394,luz_amoriim,1,1
395,luizteles,1,2
396,luiz9362,1,1
397,luiz-assis,1,4
398,luimate,1,1
399,lucasadantas94,1,2
400,lilsebastian1337,1,1
401,licio2022,1,1
402,laucs,1,1
403,kreitoss,1,1
404,juvailati,1,1
405,jafar1234t,1,1
406,hzuzbsisn,1,1
407,hollowzin,1,1
408,giovani_jr,1,1
409,gabriel_lxdap,1,1
410,felipebalrog,1,1
411,fabriciomacena,1,1
412,estouaquipraseromelhor,1,1
413,erick_effgen,1,2
414,egidioedic1708,1,1
415,edsoncorreajunior,1,1
416,edilson-santos,1,3
417,diegosn225,1,1
418,daniel_barros86,1,1
419,chesscarev,1,1
420,carlos_kraso,1,1
421,capivara_satanista,1,1
422,brunokagich,1,1
423,banqueiroanarquista,1,1
424,arthuprereiras96,1,1
425,apolino96,1,2
426,angelaneves,1,1
427,andrewescley,1,1
428,alma_negra,1,1
429,alistolfogemefino,1,1
430,alexandresevero,1,1
431,alan-suenaga,1,1
432,adp087,1,1
433,samuelspinardi,1,1
434,pedror420,1,1
435,pavelhartzea,1,1
436,bloom_leopold,1,1
437,tiaguinx,1,2
438,ph_2006,1,1
439,localmanwinner,1,1
440,gabrielvetrone,1,1
441,dadadmj,1,1
442,aleckim2,1,1
443,adrianchess1234,1,1
444,perseo1408,0.5,1
445,ivangrosskopf,0.5,3
446,chess_tapajos,0.5,1
447,yhenriquerx,0,1
448,xptoprox,0,1
449,vokitojunior,0,1
450,vigg-sama,0,1
451,uriarthur,0,1
452,toninho2005,0,1
453,the-mumia,0,2
454,sutherlandx,0,1
455,sergio_matias,0,1
456,semeandopaz30,0,1
457,scherrock_holmes,0,1
458,saulwanderlust,0,1
459,sandroabreu,0,1
460,rodrigotricta,0,2
